,paramName,paramValue
0,total_cycles_match_mcpat,0
1,idle_cycles_match_mcpat,0
2,busy_cycles_match_mcpat,0
3,total_instructions_match_mcpat,0
4,int_instruction_match_mcpat,0
5,flt_instruction_match_mcpat,0
6,branch_instruction_match_mcpat,0
7,load_instruction_match_mcpat,0
8,store_instruction_match_mcpat,0
9,int_register_read_access_match_mcpat,0
10,int_register_write_access_match_mcpat,0
11,float_register_read_access_match_mcpat,0
12,float_register_write_access_match_mcpat,0
13,ialu_accesses_match_mcpat,0
14,fpu_accesses_match_mcpat,0
15,mul_accesses_match_mcpat,0
16,ccache_read_accesses_match_mcpat,0
17,ccache_read_misses_match_mcpat,0
18,tcache_read_accesses_match_mcpat,0
19,tcache_read_misses_match_mcpat,0
20,sharedmemory_read_access_match_mcpat,0
21,sharedmemory_write_access_match_mcpat,0
22,dcache_read_access_match_mcpat,0
23,dcache_write_access_match_mcpat,0
24,dcache_read_miss_match_mcpat,0
25,dcache_write_miss_match_mcpat,0
26,l2_read_accesses_match_mcpat,0
27,l2_read_miss_match_mcpat,0
28,memory_accesses_match_mcpat,0
29,memory_reads_match_mcpat,0
30,memory_writes_match_mcpat,0
